//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight 
               3 5 6        180 180 180        255 255 255           21 34 40           15 25 29              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 3 4           27 28 29       23 23 23 245       0 92 101 105      0 130 130 130                 75                 90                  0               0.75
// 6AM                                                                                                                                                                                                         
            10 10 10        159 173 179        255 255 255        113 129 134         107 103 96           60 45 29         174 123 68              10.75               0.25               0.55                  0                100                100            1001.00              10.00               0.55             11 6 1           88 82 75       43 46 47 250        0 100 94 87      0 130 130 130                170                120                  0               1.50
// 7AM                                                                                                                                                                                                         
              12 7 1        179 173 168        255 255 255        155 199 223        149 177 189           65 48 35          154 88 30               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        159 169 172    109 119 111 245      0 144 133 119            0 0 0 0                135                180                  0               1.65
// 8AM                                                                                                                                                                                                         
              12 7 0        179 173 168        255 255 255        154 200 229        148 176 191           67 47 31          154 89 28               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        160 170 173    110 120 112 245      0 145 133 119            0 0 0 0                131                180                  0               1.65
// 9AM                                                                                                                                                                                                         
              12 7 0        179 174 169        255 255 255        153 201 235        147 176 193           70 46 28          154 91 26               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        161 171 175    112 122 114 245      0 146 134 119            0 0 0 0                127                180                  0               1.65
// 10AM                                                                                                                                                                                                        
              12 7 0        179 174 170        255 255 255        152 202 242        147 176 195           73 46 25          154 92 24               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        162 172 176    113 124 115 245      0 147 135 119            0 0 0 0                123                180                  0               1.65
// 11AM                                                                                                                                                                                                        
              12 7 0        179 175 171        255 255 255        151 203 248        146 176 197           76 45 22          154 94 22               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        163 173 178    115 126 117 245      0 148 136 119            0 0 0 0                119                180                  0               1.65
// Midday                                                                                                                                                                                                      
              13 7 0        180 176 172        255 255 255        151 205 255        146 176 199           79 45 19          154 96 20               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        165 174 180    117 128 119 245      0 150 137 119            0 0 0 0                115                180                  0               1.65
// 1PM                                                                                                                                                                                                         
              12 6 0        179 175 171        255 255 255        152 204 252        147 175 196           67 38 16          150 94 24               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 8        166 173 177    116 127 118 245      0 149 136 119            0 0 0 0                115                177                  0               1.65
// 2PM                                                                                                                                                                                                         
              12 6 0        179 174 170        255 255 255        153 204 249        149 175 194           56 32 13          147 93 28               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 8        167 172 175    115 126 117 245      0 148 136 119            0 0 0 0                116                174                  0               1.65
// 3PM                                                                                                                                                                                                         
              11 6 0        179 174 169        255 255 255        154 204 246        151 175 192           45 25 10          143 92 31               3.25               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 8        168 171 173    113 125 116 245      0 147 135 119            0 0 0 0                117                171                  0               1.65
// 4PM                                                                                                                                                                                                         
              11 5 0        179 173 168        255 255 255        155 203 244        153 174 189            33 19 8          140 90 36               3.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 7        169 171 171    113 124 115 245      0 146 135 119            0 0 0 0                117                168                  0               1.65
// 5PM                                                                                                                                                                                                         
              10 5 0        179 173 167        255 255 255        156 203 241        155 174 187            22 12 5          136 89 40               3.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 7        170 170 169    112 123 114 245      0 145 134 119            0 0 0 0                118                165                  0               1.65
// 6PM                                                                                                                                                                                                         
              10 5 0        179 172 166        255 255 255        157 203 238        157 174 185             11 6 2          133 88 44               3.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 7        171 169 167    111 122 113 245      0 144 134 119            0 0 0 0                119                162                  0               1.65
// 7PM                                                                                                                                                                                                         
              10 5 0        179 172 166        255 255 255        158 203 236        159 174 183              0 0 0              0 0 0               4.25               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 7        172 169 165    110 121 112 245      0 143 134 119            0 0 0 0                120                160                  0               1.65
// 8PM                                                                                                                                                                                                         
               9 5 1        180 171 164        255 255 255        198 223 237        177 190 193              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.55             10 9 8        174 166 161    100 110 102 245      0 129 118 100            0 0 0 0                125                220                  0               1.65
// 9PM                                                                                                                                                                                                         
            21 17 14        179 168 159        255 255 255        126 141 150        114 109 102              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                 75            1001.00              10.00               0.55              7 5 4        126 113 104       71 76 72 245      0 116 110 101         0 65 65 65                151                220                  0               1.65
// 10PM                                                                                                                                                                                                        
              10 8 6        179 166 154        255 255 255         99 111 112          100 80 62              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              4 2 0           78 61 47       43 43 43 245      0 103 103 103      0 130 130 130                177                220                  0               1.25
// 11PM                                                                                                                                                                                                        
               6 6 6        177 172 167        255 255 255           61 74 76           57 52 45              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              3 2 2           52 45 38       33 33 33 245      0 100 103 104      0 130 130 130                126                155                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight 
               4 5 6        173 177 180        255 255 255           37 37 37           25 25 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           26 26 26       23 23 23 245       0 95 105 105      0 130 130 130                 75                 90                  0               0.75
// 1AM                                                                                                                                                                                                         
               3 5 6        174 177 180        255 255 255           35 36 36           23 24 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           25 25 26       23 23 23 245       0 93 104 105      0 130 130 130                 75                 90                  0               0.75
// 2AM                                                                                                                                                                                                         
               3 5 6        175 178 180        255 255 255           34 36 36           22 24 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           25 25 26       23 23 23 245       0 92 103 105      0 130 130 130                 75                 90                  0               0.75
// 3AM                                                                                                                                                                                                         
               3 5 6        177 178 180        255 255 255           33 35 36           21 23 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           24 25 26       23 23 23 245       0 91 102 105      0 130 130 130                 75                 90                  0               0.75
// 4AM                                                                                                                                                                                                         
               3 5 6        178 179 180        255 255 255           32 35 36           20 23 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           24 25 26       23 23 23 245       0 90 101 105      0 130 130 130                 75                 90                  0               0.75
// 5AM                                                                                                                                                                                                         
               3 5 6        180 180 180        255 255 255           31 35 36           19 23 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           24 25 26       23 23 23 245       0 89 101 105      0 130 130 130                 75                 90                  0               0.75
// 6AM                                                                                                                                                                                                         
            11 11 11        179 173 167        255 255 255        134 147 137         130 106 80           33 24 16          196 86 17              12.65               0.25               0.55                  0                100                100            1001.00              10.00               0.55              0 0 0          103 86 71       41 45 45 245        0 102 94 86      0 130 130 130                170                220                  0               1.50
// 7AM                                                                                                                                                                                                         
              11 8 3        180 180 180        255 255 255        166 195 211        153 181 197           65 56 47          154 88 29               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        162 168 172    116 116 116 245      0 144 132 114            0 0 0 0                135                220                  0               1.65
// 8AM                                                                                                                                                                                                         
              11 7 2        179 179 179        255 255 255        164 195 213        153 180 194           67 56 46          156 92 29               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        163 168 172    117 117 117 245      0 145 133 115            0 0 0 0                131                220                  0               1.65
// 9AM                                                                                                                                                                                                         
              12 7 1        179 179 179        255 255 255        163 196 215        153 179 191           69 57 45          159 96 29               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        164 169 172    118 118 118 245      0 146 134 117            0 0 0 0                127                220                  0               1.65
// 10AM                                                                                                                                                                                                        
              12 7 1        179 179 179        255 255 255        162 196 217        154 178 189           71 57 45         162 100 30               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        165 169 173    119 119 119 245      0 147 136 119            0 0 0 0                123                220                  0               1.65
// 11AM                                                                                                                                                                                                        
              13 7 0        179 179 179        255 255 255        161 197 219        154 177 186           73 58 44         165 104 30               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        166 170 173    120 120 120 245      0 148 137 121            0 0 0 0                119                220                  0               1.65
// Midday                                                                                                                                                                                                      
              14 7 0        179 179 179        255 255 255        160 198 222        155 176 184           76 59 44         168 108 31               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 9 9        167 171 174    122 122 122 245      0 150 139 123            0 0 0 0                115                220                  0               1.65
// 1PM                                                                                                                                                                                                         
              13 6 0        179 177 175        255 255 255        163 199 221        158 177 184           65 50 37         180 117 39               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 8        169 172 174    119 118 116 245      0 148 136 119            0 0 0 0                115                220                  0               1.65
// 2PM                                                                                                                                                                                                         
              13 6 0        179 175 171        255 255 255        167 200 220        161 178 184           54 42 31         192 126 48               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              9 8 7        172 173 174    117 114 110 245      0 147 133 115            0 0 0 0                116                220                  0               1.65
// 3PM                                                                                                                                                                                                         
              13 6 0        179 173 168        255 255 255        171 202 220        164 179 185           43 33 25         205 135 57               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45             10 8 6        175 175 175    115 110 105 245      0 145 130 111            0 0 0 0                117                220                  0               1.65
// 4PM                                                                                                                                                                                                         
              13 6 0        179 171 164        255 255 255        175 203 219        168 180 185           32 25 18         217 145 65               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45             10 8 6        177 176 175     113 106 99 245      0 144 128 107            0 0 0 0                117                220                  0               1.65
// 5PM                                                                                                                                                                                                         
              13 6 0        179 169 161        255 255 255        179 205 219        171 181 186           21 16 12         230 154 74               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45             11 8 5        180 178 176     111 102 94 245      0 142 125 103            0 0 0 0                118                220                  0               1.65
// 6PM                                                                                                                                                                                                         
              13 6 0        179 167 157        255 255 255        183 206 218        174 182 186             10 8 6         242 163 83               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45             11 8 4        183 179 176      109 98 88 245       0 141 122 99            0 0 0 0                119                220                  0               1.65
// 7PM                                                                                                                                                                                                         
              13 6 0        179 165 154        255 255 255        187 208 218        178 184 187              0 0 0              0 0 0               3.25               0.25               0.55                  0                100                  0            1001.00              10.00               0.45             12 8 4        186 181 177      107 94 83 245       0 140 120 96            0 0 0 0                120                220                  0               1.65
// 8PM                                                                                                                                                                                                         
               4 2 0        179 153 135        255 255 255        251 251 251        187 172 170              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.55             14 9 5        148 147 146       95 88 83 245        0 116 86 58            0 0 0 0                125                220                  0               1.65
// 9PM                                                                                                                                                                                                         
            23 19 14        179 166 157        255 255 255        169 161 142        116 107 102              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                 75            1001.00              10.00               0.55              7 4 2        112 108 104       69 63 57 245        0 111 87 65         0 65 65 65                125                122                  0               1.65
// 10PM                                                                                                                                                                                                        
             11 10 9        180 180 180        255 255 255         132 122 99           87 80 71              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              0 0 0           76 69 62       44 39 32 245        0 106 89 73      0 130 130 130                125                 24                  0               1.25
// 11PM                                                                                                                                                                                                        
               7 7 7        176 178 180        255 255 255           84 79 68           56 52 48              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              0 0 0           51 47 44       33 31 27 245        0 100 97 89      0 130 130 130                100                 57                  0               1.00
